,dm_t_prime,dm_t_prime,dm_t_prime
,mean,min,max
decade,,,
2015,3.518314636008809,2.736847122832106,4.377464258936948
2020,4.219687419537784,3.4836840154604443,5.098853371992056
2025,3.551926381060106,2.884828658380789,3.8559214034448055
2030,3.8008857158477474,2.9877305869665527,4.506403498245501
2035,3.943892371104357,3.693535599471064,4.362160357825322
2040,4.212895953385622,3.5759436903155413,5.165290254497918
2045,3.883878484941915,3.6797490825611634,4.210022028329691
2050,3.7144898949773344,3.135883676837009,4.605515666868445
2055,3.608757119941109,3.104715445801489,4.4263328143124685
2060,3.4828887690189076,2.949418932454242,4.218966638190885
2065,3.4051247627661425,2.7935805589770495,4.2576189796134765
2070,3.0578395771396965,2.673563130600186,3.293648264287862
2075,3.188838279996816,2.778648828819397,3.9905948509776246
2080,3.2322700669431796,2.6619934665593044,3.5361542319896238
2085,3.068040186171987,2.4201091461563,3.800993663971028
2090,3.074117294696179,2.6522928058705784,3.6649526720681984
2095,2.766271714699748,1.5074687627069776,3.389505886443186
