,dm_t_prime,dm_t_prime,dm_t_prime
,mean,min,max
decade,,,
1980,4.850401398795496,3.4262974986642694,6.155874903976757
1985,4.360410170915118,2.953352668892293,5.171953857013921
1990,4.029501104977586,3.0336643153842013,5.755299391462532
1995,3.914693879771332,2.8678675814633485,5.070082168060907
2000,3.8084365841748378,3.384389432684579,4.243278803745572
2005,4.08881334198731,2.6836427928176056,4.857185850241978
2010,4.087419194354807,3.0315535553538493,5.093454872297959
2015,4.209862752835853,2.9485600443647026,4.89507378238856
