,dm_t_prime,dm_t_prime,dm_t_prime
,mean,min,max
decade,,,
2015,0.027180460764995733,-0.17495158724927787,0.20657107806193847
2020,-0.33249758966794724,-0.7237289715717466,0.4627114413449818
2025,-0.2138358275442566,-0.622201281189403,0.19352648717194093
2030,0.10365668511080088,-0.605885124517773,0.9591475452223386
2035,-0.14208416683693229,-0.4053287679239507,0.482971522652075
2040,-0.17830588176466483,-0.6946442248301267,0.5678153403631442
2045,0.015673538283913695,-0.5819885886008408,0.29820212520638223
2050,0.2819838384299785,-0.21718302312544316,1.172712985796184
2055,0.24797806516431295,-0.7195461207895323,0.8490974229307274
2060,-0.041051092721882565,-0.671521059600853,0.43532241752985734
2065,0.18248648583453742,-0.1966032636223994,0.5121289428810241
2070,0.12166820627644939,-0.02621591887596192,0.4326234091715458
2075,0.3133330225468206,0.1300623173437884,0.7204941977393906
2080,0.37879257199279814,-0.3263382894771674,0.7239243198154045
2085,0.4195488025709195,-0.25827429752716347,1.041267957130051
2090,0.6608054183013603,-0.11351887719560148,1.0117868510938246
2095,0.4248056925128343,-0.019753361142905976,0.8595095617096684
