,dm_t_prime,dm_t_prime,dm_t_prime
,mean,min,max
decade,,,
2015,3.6882913779552773,3.247829398011053,3.9074555425348074
2020,3.8526817403610316,3.321119958506125,4.414545251406856
2025,4.147725568190635,3.440977054120285,4.793776926187449
2030,3.8801337863368404,2.720052580328667,4.403869794741143
2035,3.6049196612422976,3.2128188773724227,4.042898301489558
2040,3.73587414400523,3.516116205706874,4.1652892704143465
2045,3.6864066473387576,2.5674019389496125,4.0965270812301835
2050,4.043677758349724,3.827188451290776,4.415909316813984
2055,3.1446662122810407,2.735924285001566,3.4165618173203334
2060,3.361111566091502,3.15697246055896,3.5033108128916757
2065,3.9700000466221583,3.3029635955971908,5.025924969588415
2070,3.4846831746400104,3.228102662507679,4.059890043802419
2075,3.7799076541819323,3.4286192554753305,4.301642320163208
2080,3.3548292652821408,3.0695564653847236,3.5875120743729396
2085,3.561853576627275,3.0126719213247704,4.108090344749473
2090,3.2571857724846325,2.813367203978566,3.8854378584854294
2095,2.967009304836126,1.6547492971965818,4.118115959324768
