,dm_t_prime,dm_t_prime,dm_t_prime
,mean,min,max
decade,,,
2015,4.688095819827306,3.935627013037992,5.420241882008604
2020,4.261789663916888,3.5441151281995737,5.25449938306448
2025,3.8373056504237466,2.8800966740318255,5.328730769056017
2030,4.19025927686477,3.4256063298234727,4.9932403789492135
2035,4.5107035253363765,3.195498898208669,5.51045802445234
2040,4.668494569421439,3.9653648577465153,5.254988934883635
2045,4.080921280783594,3.7707974212145254,4.625755986977442
2050,3.703409517014282,2.6152971207528046,4.443795057444937
2055,3.956647768170382,3.4244181213844813,4.335710291556793
2060,4.1450276367011964,3.66416673561494,4.832382157380955
2065,3.5891358553848107,3.287858768820978,3.8859601792431446
2070,4.030041448126016,3.1528820537187783,4.835882188961241
2075,3.473377664317474,3.3810910529405827,3.6292731462394596
2080,3.7035923336215233,2.7842003085592157,4.334554020662255
2085,3.874565565146156,3.2841466160739543,4.678430312994199
2090,3.852868348333684,3.343225123785968,4.862403837374729
2095,3.2003211731462358,1.7871506143207967,4.49112767991238
