,dm_t_prime,dm_t_prime,dm_t_prime
,mean,min,max
decade,,,
1980,-0.5204302447496827,-1.217548433617925,0.18841913704399496
1985,-0.7462256620856154,-1.6409128446112304,-0.04562576076303051
1990,-0.7190331635511156,-0.9644224622188118,-0.39196494409975885
1995,-0.6303620986315258,-1.1948287029281797,0.13977029338574481
2000,-0.4615463158799688,-0.940139855676453,-0.2980756430276903
2005,-0.4932561552680926,-1.0900632333879068,-0.11196734373321417
2010,-0.4555652764987898,-0.889314904893576,-0.07210407870027125
2015,-1.1532592848254446,-1.709776139821271,-0.36872328718422775
