,dm_t_prime,dm_t_prime,dm_t_prime
,mean,min,max
decade,,,
2015,-0.13352904748672909,-0.7606435935834999,0.22021764999723747
2020,-0.17318566336330374,-0.5378227598768378,0.4034337039210011
2025,-0.0615443433820778,-0.11527531692730734,0.10923295853733957
2030,-0.4098151395201241,-1.1521778493391135,0.613593675551982
2035,-0.28595322124202216,-0.7842846350733449,0.09201721997849764
2040,-0.27066464696073506,-0.5905893872666458,0.18520617668313932
2045,-0.0009384535600801922,-0.4849443860655687,0.25975362203051794
2050,-0.2631052314814323,-0.7024913231157276,0.17494545271016892
2055,0.2706140666635253,-0.578623518132902,0.9406523459047542
2060,0.18433257191739644,-0.2241312417747762,0.5917116951655934
2065,-0.07651837139371294,-0.6335165640615277,0.23963592808251494
2070,0.2945447777864385,-0.14516082154978427,0.6008827824459072
2075,-0.009881050915450362,-0.47309524085769894,0.36591261083506843
2080,-0.3498415320197542,-0.7952307745338646,-0.022080882750861577
2085,0.17764112930920087,-0.10688517574563584,0.665012155958383
2090,0.4344668609860884,0.2727587616472387,0.5768741153889627
2095,-0.060295089767329516,-1.4480753718116643,0.5723827276192112
